old_url,old_handle,old_title,redirects_to,mapping,redirect_live,redirect_live_target,matches_plan,deleted,old_collection_id
/collections/afnan-perfumes,afnan-perfumes,Afnan Perfumes Collection – Buy Original Afnan Perfumes Online at Fragrance Secrets,/collections/afnan,mapped,yes,/collections/afnan,yes,,gid://shopify/Collection/286137581681
/collections/ahmed-al-maghribi-perfumes,ahmed-al-maghribi-perfumes,Ahmed Al Maghribi Perfumes | Buy Best Perfumes Online – Fragrance Secrets,/collections/ahmed-al-maghribi,renamed,yes,/collections/ahmed-al-maghribi,yes,,gid://shopify/Collection/286136664177
/collections/ajmal-perfumes,ajmal-perfumes,Ajmal Perfumes – Crafting Memories Through Fragrance,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/286137548913
/collections/al-anfar-perfumes-collection-buy-original-al-anfar-perfumes-online-at-fragrance-secrets,al-anfar-perfumes-collection-buy-original-al-anfar-perfumes-online-at-fragrance-secrets,Al Anfar Perfumes Collection – Buy Original Al Anfar Perfumes Online at Fragrance Secrets,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/309909454961
/collections/al-gazal,al-gazal,Al Gazal – Fusion of Middle Eastern Essence and Modernity,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/287151521905
/collections/al-gazal-perfumes,al-gazal-perfumes,Al Gazal Perfumes – Buy Luxury Perfumes Online,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/288926498929
/collections/al-haramain-perfumes,al-haramain-perfumes,Al Haramain Perfumes by Fragrance Secrets – Al Haramain Eau De Parfum & Perfume Oils,/collections/al-haramain,renamed,yes,/collections/al-haramain,yes,,gid://shopify/Collection/292875305073
/collections/al-majed-oud-perfumes-collection-authentic-arabian-fragrances-uae,al-majed-oud-perfumes-collection-authentic-arabian-fragrances-uae,Al Majed Oud Perfumes Collection | Authentic Arabian Fragrances UAE,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/300079546481
/collections/alezz-oud-perfumes,alezz-oud-perfumes,Alezz Oud Perfumes,/collections/alezz-oud,renamed,yes,/collections/alezz-oud,yes,,gid://shopify/Collection/302390313073
/collections/amber-perfumes-collection-buy-original-amber-perfumes-online-at-fragrance-secrets,amber-perfumes-collection-buy-original-amber-perfumes-online-at-fragrance-secrets,Amber Perfumes Collection – Buy Original Amber Perfumes Online at Fragrance Secrets,/collections/amber-woody,mapped,yes,/collections/amber-woody,yes,,gid://shopify/Collection/309912698993
/collections/amouage-perfumes,amouage-perfumes,Amouage Perfumes Collection – Buy Luxury Amouage Fragrances Online at Fragrance Secrets,/collections/amouage,renamed,yes,/collections/amouage,yes,,gid://shopify/Collection/292508532849
/collections/ar-rahmani-perfume-collection,ar-rahmani-perfume-collection,AR-RAHMANI,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/289106198641
/collections/arabic-perfumes-collection-buy-original-arabic-perfumes-online-at-fragrance-secrets,arabic-perfumes-collection-buy-original-arabic-perfumes-online-at-fragrance-secrets,Arabic Perfumes Collection – Buy Original Arabic Perfumes Online at Fragrance Secrets,/collections/arabic,renamed,yes,/collections/arabic,yes,,gid://shopify/Collection/309910470769
/collections/arabiyat-prestige-perfumes-collection-buy-original-arabiyat-prestige-fragrances-online-uae,arabiyat-prestige-perfumes-collection-buy-original-arabiyat-prestige-fragrances-online-uae,Arabiyat Prestige Perfumes Collection | Buy Original Arabiyat Prestige Fragrances Online UAE,/collections/arabiyat-prestige,renamed,yes,/collections/arabiyat-prestige,yes,,gid://shopify/Collection/299900174449
/collections/armaf-odyssey-limoni-fresh-edition,armaf-odyssey-limoni-fresh-edition,Armaf Odyssey Limoni Fresh Edition,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/309414232177
/collections/armaf-perfumes,armaf-perfumes,Armaf Perfumes Collection – Buy Original Armaf Fragrances Online at Fragrance Secrets,/collections/armaf,renamed,yes,/collections/armaf,yes,,gid://shopify/Collection/286137614449
/collections/attar-roll-on-set,attar-roll-on-set,Roll On Set,/collections/attar,mapped,yes,/collections/attar,yes,,gid://shopify/Collection/288976207985
/collections/azzaro-perfumes-collection-buy-original-azzaro-fragrances-online-uae,azzaro-perfumes-collection-buy-original-azzaro-fragrances-online-uae,Azzaro Perfumes Collection | Buy Original Azzaro Fragrances Online UAE,/collections/azzaro,renamed,yes,/collections/azzaro,yes,,gid://shopify/Collection/301610762353
/collections/bath-body-works-collection-buy-original-bath-body-works-fragrances-online-fragrance-secrets,bath-body-works-collection-buy-original-bath-body-works-fragrances-online-fragrance-secrets,Bath & Body Works Collection - Buy Original Bath & Body Works Fragrances Online - Fragrance Secrets,/collections/bath-body-works,mapped,yes,/collections/bath-body-works,yes,,gid://shopify/Collection/308609024113
/collections/best-perfumes-under-100-aed,best-perfumes-under-100-aed,Best Perfumes Under 100 AED,/collections/crazy-deals,mapped,yes,/collections/crazy-deals,yes,,gid://shopify/Collection/303750021233
